Phase and Amplitude Scintillation Indices from KHO (78.147,16.038,0.522)

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2313,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma , HHMM
 432000.00, 7, 0, 1, 99.04, 38.71, 48.32,13022.98, -13.212,  0.054,  0.059,  0.038,  0.060,  0.078,  0.096,  0.096,  0.096, 0000
 432000.00,18, 0, 1,302.01, 30.57, 46.82, 9385.97,  -7.339,  0.150,  0.073,  0.046,  0.067,  0.097,  0.148,  0.149,  0.149, 0000
 432000.00,18, 0, 7,302.01, 30.57, 51.16, 9383.82, 151.307,  0.006,  0.077,  0.028,  0.060,  0.098,  0.156,  0.157,  0.157, 0000
 432000.00,23, 0, 1,332.72, 18.33, 43.85, 1906.04,  -2.304,  0.070,  0.130,  0.064,  0.073,  0.091,  0.111,  0.112,  0.112, 0000
 432000.00,23, 0, 7,332.72, 18.33, 48.32, 1906.34,  94.347,  0.029,  0.061,  0.038,  0.053,  0.069,  0.088,  0.088,  0.088, 0000
 432000.00, 8, 0, 1, 62.21, 31.61, 45.14, 4902.49,  -6.516,  0.023,  0.076,  0.055,  0.074,  0.087,  0.101,  0.101,  0.101, 0000
 432000.00, 8, 0, 7, 62.21, 31.61, 50.76, 4829.08,  91.902,  0.008,  0.047,  0.029,  0.051,  0.062,  0.069,  0.069,  0.069, 0000
 432000.00,15, 0, 1,273.73, 35.89, 49.59, 4477.18, -12.020,  0.034,  0.061,  0.033,  0.062,  0.086,  0.112,  0.112,  0.112, 0000
 432000.00, 5, 0, 1,219.25, 31.59, 47.98,12775.78, -13.381,  0.080,  0.094,  0.040,  0.066,  0.082,  0.112,  0.113,  0.113, 0000
 432000.00,30, 0, 1,142.94, 56.14, 51.37, 9816.34, -17.254,  0.103,  0.044,  0.027,  0.064,  0.087,  0.118,  0.119,  0.119, 0000
 432000.00,30, 0, 7,142.94, 56.14, 53.57, 9814.06, 254.463,  0.011,  0.039,  0.021,  0.058,  0.085,  0.114,  0.115,  0.115, 0000
 432000.00,27, 0, 1, 20.06, 31.99, 45.99, 7845.88,  -5.310,  0.021,  0.063,  0.050,  0.070,  0.085,  0.105,  0.105,  0.105, 0000
 432000.00,27, 0, 7, 20.06, 31.99, 51.53, 7843.64, 113.013,  0.005,  0.043,  0.027,  0.049,  0.060,  0.076,  0.076,  0.076, 0000
 432000.00,13, 0, 1,233.67, 55.29, 52.32, 7416.49, -12.963,  0.150,  0.048,  0.024,  0.053,  0.076,  0.099,  0.099,  0.099, 0000
 432060.00, 7, 0, 1, 98.81, 38.32, 48.41,13082.98, -13.048,  0.026,  0.060,  0.038,  0.067,  0.095,  0.114,  0.115,  0.115, 0001
 432060.00,18, 0, 1,301.57, 30.34, 47.07, 9445.97,  -6.954,  0.100,  0.068,  0.044,  0.066,  0.096,  0.118,  0.119,  0.119, 0001
 432060.00,18, 0, 7,301.57, 30.34, 51.26, 9443.82, 151.353,  0.016,  0.067,  0.027,  0.056,  0.090,  0.115,  0.117,  0.117, 0001
 432060.00,23, 0, 1,332.55, 18.71, 43.31, 1966.04,  -2.790,  0.193,  0.088,  0.068,  0.078,  0.101,  0.120,  0.120,  0.120, 0001
 432060.00,23, 0, 7,332.55, 18.71, 49.16, 1966.34,  94.266,  0.010,  0.100,  0.035,  0.055,  0.072,  0.094,  0.095,  0.095, 0001
 432060.00, 8, 0, 1, 61.74, 31.81, 45.39, 4962.49,  -6.490,  0.023,  0.068,  0.054,  0.074,  0.096,  0.118,  0.119,  0.119, 0001
 432060.00, 8, 0, 7, 61.74, 31.81, 50.74, 4889.08,  91.923,  0.002,  0.053,  0.029,  0.054,  0.071,  0.094,  0.095,  0.095, 0001
 432060.00,15, 0, 1,273.45, 36.28, 49.93, 4537.18, -12.186,  0.054,  0.054,  0.032,  0.064,  0.083,  0.098,  0.098,  0.098, 0001
 432060.00, 5, 0, 1,218.99, 31.19, 48.19,12835.78, -13.590,  0.070,  0.066,  0.039,  0.068,  0.101,  0.119,  0.120,  0.119, 0001
 432060.00,30, 0, 1,142.16, 56.04, 51.47, 9876.34, -17.009,  0.063,  0.040,  0.027,  0.071,  0.107,  0.124,  0.126,  0.127, 0001
